term,B,SE,t,p_value,Lower_95,Upper_95
Intercept,0.9136255692037294,0.0257636175569969,35.46185108448042,1.9048760172334544e-275,0.8631298066805516,0.9641213317269072
"C(Cognitive, Treatment(reference='Remember'))[T.Analyze]",0.14420044982015912,0.08890282624611892,1.622000738434952,0.10480319002279932,-0.03004588774605621,0.31844678738637444
"C(Cognitive, Treatment(reference='Remember'))[T.Apply]",0.19019816651839383,0.07446898717031754,2.554058726264033,0.010647529652488105,0.0442416336993961,0.33615469933739156
"C(Cognitive, Treatment(reference='Remember'))[T.Evaluate]",0.17860678136664918,0.10160726235765105,1.7578151130375381,0.07877897299753811,-0.02053979342205922,0.37775335615535754
"C(Cognitive, Treatment(reference='Remember'))[T.Understand]",0.03399112342919214,0.05617772573856376,0.6050640708984522,0.5451364259646717,-0.07611519575176164,0.1440974426101459
"C(Complexity, Treatment(reference='Low'))[T.High]",-0.2170443612914323,0.08874428614585349,-2.4457277275825327,0.014456012308104412,-0.390979965971022,-0.043108756611842575
"C(Complexity, Treatment(reference='Low'))[T.Moderate]",-0.19235767675634846,0.06175935088043764,-3.1146324243067465,0.001841742642034572,-0.3134037801905783,-0.07131157332211861
