term,B,SE,z,p_value,aOR,Lower_95,Upper_95,aOR_95_CI
Intercept,-2.4379411662893404,0.29275560046873667,-8.327564570535646,8.252239528237648e-17,0.08734048601660649,0.04920588035535019,0.15502944856442544,"[0.05, 0.16]"
"C(Cognitive, Treatment(reference='Remember'))[T.Analyze]",-1.0846930826314443,0.6844880206879601,-1.5846779634525219,0.11303952116494745,0.33800550973818044,0.08836409091974153,1.2929202736565806,"[0.09, 1.29]"
"C(Cognitive, Treatment(reference='Remember'))[T.Apply]",-1.6089164809089298,0.6320341791485424,-2.5456162561911033,0.0109085033372916,0.20010431349884403,0.05797731462853625,0.6906448933931002,"[0.06, 0.69]"
"C(Cognitive, Treatment(reference='Remember'))[T.Evaluate]",-1.3923772525983058,0.8911111761295222,-1.562517999881897,0.11816600886031473,0.24848389296254414,0.04332804522926309,1.4250410960178739,"[0.04, 1.43]"
"C(Cognitive, Treatment(reference='Remember'))[T.Understand]",-0.3417418064583661,0.49747838662796895,-0.6869480476825863,0.49211546746733137,0.7105316357072748,0.26799165306150813,1.8838467525889089,"[0.27, 1.88]"
"C(Complexity, Treatment(reference='Low'))[T.High]",1.8786175160194993,0.7277705528363276,2.5813321364789985,0.009841984231787297,6.544451006550253,1.5717462029383442,27.249844088738495,"[1.57, 27.25]"
"C(Complexity, Treatment(reference='Low'))[T.Moderate]",1.6377665042669147,0.45457081731668736,3.602885275246181,0.0003147044491529008,5.143668311847915,2.110252697839263,12.537514454737417,"[2.11, 12.54]"
